reviewId,userName,content,score,Sentiment,Anger,Reply
c121d2b4-74cb-45d3-a685-349401bc94ee,Ikram Ali,Super Aap Contact pay Option Is Very Good,4,positive,False,Thank you for your positive review! We're glad to hear that you find our contact pay option very good. We appreciate your feedback and hope to continue providing you with excellent service.
87ee4a18-af3b-4191-bfcf-443aa26c9d02,SANTOSH ITEKARI,It's verry nice app easily work,4,positive,False,Thank you for your positive review! We're glad to hear that our app is working well for you.
1738b14e-b75e-4288-ab6b-5b1da27d39e6,Kiran Kumar Gaddipati,Good,4,positive,False,Thank you for your positive review! We appreciate your feedback.
3d2904b8-47dd-41ee-aa0a-795c3c697f1b,Thiru Moorthi,Good,4,positive,False,Thank you for your positive review! We appreciate your feedback.
4fe052cc-601d-405a-902c-c5a4e7f5ae21,Veer Singh,Sir can you please help to open my vertual debit from 5days it is showing technical issue,4,negative,False,Thank you for taking the time to leave a review. We apologize for the inconvenience you experienced with opening your virtual debit card. Please reach out to our customer service team for further assistance with this issue. We appreciate your patience and understanding.
d90e3788-0717-4b66-aebc-20e6986a443f,DILIP VASANTLAL SHAH,"In INVESTMENT CATAGARY ADD MUTUAL FUNDS NFO to INVEST in NEW FUNDS. IT'LL HELP ME TO INVEST IN DIFFERENT FUNDS . REGULAR BUY AND SIP IS THIER BUT NOT NFO IN INVESTMENT. ADD IT, IT'LL HELP PERSON LIKE ME WHO APPLIES IN DIFFERENT DIFFERENT NFO I THINK YOU WII ADD NFO FETURE IN INVESTMENT AND HELP WHO WANTS TO INVESTMENT BY NFO",5,positive,False,Thank you for your positive review! We appreciate your suggestion to add NFO feature in our investment category. We will definitely consider it to help our customers like you who want to invest in different funds. Please let us know if you have any further feedback or questions. Thank you for choosing our service!
7ec0a1ef-d8d4-4713-bd00-3bba9a8bd489,भारत भूषण भारद्वाज,Great App by great Bank for every type of gentary,5,positive,False,"Thank you for your positive review! We're glad to hear that our app is serving you well. If you have any questions or concerns, please don't hesitate to reach out to our customer service team."
17529557-1cdb-4ed6-9bae-8714ccf16d2e,Shubhanshu Kumar,Kotak Bank open online by video kyc it's too good for me it's works properly,5,positive,False,Thank you for your positive review! We're glad to hear that our video KYC process worked well for you.
25ea3bb8-4b5b-4bfe-96c7-650f9977d8ad,Sachin Malviya,Very nice 👍,5,positive,False,Thank you for your positive review! We appreciate your feedback and hope to see you again soon.
63a85fc0-19c8-4e31-85cf-5b5b516d6428,Md Shahbaz,Bhut acha bankar hai😘,5,positive,False,Thank you for your positive review! We are glad to hear that you had a great experience with us. We hope to continue providing excellent service to you in the future.
